id,name,description,model_dependency,assurance_goals,categories,subcategories,attributes,example_use_cases,limitations,resources
60,Fair Transfer Learning,Adapts models trained on one domain to another while preserving fairness constraints across domains.,Model-Specific,Fairness,"[{""goal"": ""Fairness"", ""category"": ""In-Processing Techniques""}]","[{""category"": ""In-Processing Techniques"", ""subcategory"": ""Fair Representation Learning""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Selection & Training""}]","[{""description"": ""Transferring fairness-aware models from one region's data to another in healthcare analytics."", ""goal"": ""Fairness""}]",,[]
61,Adaptive Sensitive Reweighting,Dynamically adjusts weights during training based on model performance across different groups.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""In-Processing Techniques""}]","[{""category"": ""In-Processing Techniques"", ""subcategory"": ""Fairness-Constrained Optimisation""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Selection & Training""}]","[{""description"": ""Balancing performance in speech recognition across accents and dialects."", ""goal"": ""Fairness""}]",,[]
62,Multi-Accuracy Boosting,Improves accuracy uniformly across groups by correcting errors where the model performs poorly for certain groups.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""In-Processing Techniques""}]","[{""category"": ""In-Processing Techniques"", ""subcategory"": ""Fairness-Constrained Optimisation""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Selection & Training""}]","[{""description"": ""Enhancing model performance for underrepresented groups in disease prediction."", ""goal"": ""Fairness""}]",,[]
63,Equalised Odds Post-Processing,Adjusts output probabilities to equalise true positive and false positive rates across groups.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Post-Processing Techniques""}]","[{""category"": ""Post-Processing Techniques"", ""subcategory"": ""Outcome Adjustment""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Testing & Validation""}]","[{""description"": ""Ensuring fairness in recidivism risk assessments used in judicial decisions."", ""goal"": ""Fairness""}]",,[]
64,Threshold Optimiser,Adjusts decision thresholds for different groups to satisfy fairness constraints post-training.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Post-Processing Techniques""}]","[{""category"": ""Post-Processing Techniques"", ""subcategory"": ""Outcome Adjustment""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Testing & Validation""}]","[{""description"": ""Ensuring equal acceptance rates in college admissions across demographics."", ""goal"": ""Fairness""}]",,[]
65,Reject Option Classification,"Changes decisions where the model is least certain, favouring the disadvantaged group within this uncertain region.",Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Post-Processing Techniques""}]","[{""category"": ""Post-Processing Techniques"", ""subcategory"": ""Outcome Adjustment""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Testing & Validation""}]","[{""description"": ""Mitigating bias in hiring decisions by adjusting uncertain predictions."", ""goal"": ""Fairness""}]",,[]
66,Calibration with Equality of Opportunity,Adjusts probabilities to achieve equal true positive rates across groups while maintaining calibration within each group.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Post-Processing Techniques""}]","[{""category"": ""Post-Processing Techniques"", ""subcategory"": ""Calibration Methods""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Testing & Validation""}]","[{""description"": ""Balancing opportunity in credit scoring across different ethnic groups."", ""goal"": ""Fairness""}]",,[]
67,Statistical Parity Difference,Measures the difference in positive outcome rates between protected and unprotected groups.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Fairness Metrics and Evaluation""}]","[{""category"": ""Fairness Metrics and Evaluation"", ""subcategory"": ""Group Fairness Metrics""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Evaluating fairness in hiring models by comparing selection rates across genders."", ""goal"": ""Fairness""}]",,[]
68,Disparate Impact,"Assesses whether decisions disproportionately affect members of a protected group, typically requiring a ratio between rates.",Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Fairness Metrics and Evaluation""}]","[{""category"": ""Fairness Metrics and Evaluation"", ""subcategory"": ""Group Fairness Metrics""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Checking for bias in loan approvals where minority groups are less likely to be approved."", ""goal"": ""Fairness""}]",,[]
69,Demographic Parity,"Evaluates if the outcome is independent of the protected attributes, aiming for equal outcome rates across groups.",Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Fairness Metrics and Evaluation""}]","[{""category"": ""Fairness Metrics and Evaluation"", ""subcategory"": ""Group Fairness Metrics""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Ensuring job advertisements are shown equally across genders."", ""goal"": ""Fairness""}]",,[]
70,Equal Opportunity Difference,"Computes the difference in true positive rates between groups, assessing fairness in terms of equal opportunity.",Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Fairness Metrics and Evaluation""}]","[{""category"": ""Fairness Metrics and Evaluation"", ""subcategory"": ""Group Fairness Metrics""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Assessing fairness in medical diagnosis models across age groups."", ""goal"": ""Fairness""}]",,[]
71,Average Odds Difference,Calculates the average difference in false positive and true positive rates between groups.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Fairness Metrics and Evaluation""}]","[{""category"": ""Fairness Metrics and Evaluation"", ""subcategory"": ""Group Fairness Metrics""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Measuring bias in criminal risk assessment tools."", ""goal"": ""Fairness""}]",,[]
72,Individual Fairness Metric (Consistency),"Evaluates whether similar individuals receive similar predictions, assessing fairness at an individual level.",Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Fairness Metrics and Evaluation""}]","[{""category"": ""Fairness Metrics and Evaluation"", ""subcategory"": ""Individual Fairness Metrics""}]","[{""type"": ""Fairness Approach"", ""value"": ""Individual Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Ensuring similar credit applicants receive similar loan decisions."", ""goal"": ""Fairness""}]",,[]
73,Algorithmic Fairness using K-NN,Uses K-nearest neighbours to assess individual fairness by comparing predictions among similar instances.,Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Fairness Metrics and Evaluation""}]","[{""category"": ""Fairness Metrics and Evaluation"", ""subcategory"": ""Individual Fairness Metrics""}]","[{""type"": ""Fairness Approach"", ""value"": ""Individual Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Evaluating fairness in personalised recommendation systems."", ""goal"": ""Fairness""}]",,[]
74,Counterfactual Fairness (Causal Modelling),Ensures predictions remain the same in a counterfactual world where protected attributes are altered.,Model-Specific,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Causal Fairness Methods""}]","[{""category"": ""Causal Fairness Methods"", ""subcategory"": ""Counterfactual Fairness""}]","[{""type"": ""Fairness Approach"", ""value"": ""Individual Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Selection & Training""}]","[{""description"": ""Assessing fairness in loan approvals by simulating changes in applicant's race."", ""goal"": ""Fairness""}]",,[]
75,Path-Specific Counterfactual Fairness,"Considers specific causal pathways, allowing fairness interventions on certain paths.",Model-Specific,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Causal Fairness Methods""}]","[{""category"": ""Causal Fairness Methods"", ""subcategory"": ""Counterfactual Fairness""}]","[{""type"": ""Fairness Approach"", ""value"": ""Individual Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Selection & Training""}]","[{""description"": ""Modelling fair decisions in advertising without altering legitimate causal effects."", ""goal"": ""Fairness""}]",,[]
76,Causal Fairness Assessment with Do-Calculus,Utilises causal inference techniques to assess and mitigate bias by computing interventional distributions.,Model-Specific,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Causal Fairness Methods""}]","[{""category"": ""Causal Fairness Methods"", ""subcategory"": ""Causal Inference""}]","[{""type"": ""Fairness Approach"", ""value"": ""Causal Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Data Analysis; Model Testing & Validation""}]","[{""description"": ""Understanding bias in hiring decisions through causal relationships."", ""goal"": ""Fairness""}]",,[]
77,Diversity Constraints in Recommendations,Incorporates diversity and fairness constraints in recommendation systems for varied and fair content exposure.,Model-Specific,Fairness,"[{""goal"": ""Fairness"", ""category"": ""In-Processing Techniques""}]","[{""category"": ""In-Processing Techniques"", ""subcategory"": ""Fairness-Constrained Optimisation""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Selection & Training; System Design and Implementation""}]","[{""description"": ""Ensuring fair representation of genres in music recommendation platforms."", ""goal"": ""Fairness""}]",,[]
78,Bayesian Fairness Regularisation,"Applies Bayesian methods to include fairness as a prior, allowing probabilistic interpretation of fairness constraints.",Model-Specific,Fairness,"[{""goal"": ""Fairness"", ""category"": ""In-Processing Techniques""}]","[{""category"": ""In-Processing Techniques"", ""subcategory"": ""Fairness-Constrained Optimisation""}]","[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Selection & Training""}]","[{""description"": ""Applying fairness regularisation in Bayesian models for credit risk assessment."", ""goal"": ""Fairness""}]",,[]
79,SHAP Values for Fairness,"Uses SHAP (SHapley Additive exPlanations) to attribute model predictions to input features, helping to identify bias contributions.",Model-Agnostic,Fairness,"[{""goal"": ""Fairness"", ""category"": ""Interpretability and Explainability""}]","[{""category"": ""Interpretability and Explainability"", ""subcategory"": ""Feature Attribution Methods""}]","[{""type"": ""Fairness Approach"", ""value"": ""Individual Fairness""}, {""type"": ""Project Lifecycle Stage"", ""value"": ""Model Testing & Validation; Model Documentation""}]","[{""description"": ""Explaining biased predictions in loan approvals by examining feature contributions."", ""goal"": ""Fairness""}]",,[]
