id,name,description,model_dependency,assurance_goals,attributes,example_use_cases,limitations,resources,complexity_rating,computational_cost_rating,category_tags
39,Adversarial Debiasing,"Adversarial debiasing trains a model to maximize prediction accuracy while simultaneously preventing an adversarial component from being able to predict sensitive attributes from the model's representations. By learning representations that are predictive of the target but not of protected characteristics, the model's decisions become less influenced by demographic factors, reducing discriminatory outcomes.",Model-Specific,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Training a resume screening model that makes hiring recommendations while ensuring representations don't enable prediction of applicants' gender or ethnicity."", ""goal"": ""Fairness""}]","[{""description"": ""More complex to implement than standard models; may require careful tuning to balance task performance and fairness objectives, and effectiveness depends on adversary quality.""}]","[{""type"": ""Paper"", ""title"": ""Mitigating Unwanted Biases with Adversarial Learning"", ""url"": ""https://arxiv.org/abs/1801.07593""}]",4,3,#fairness-mitigation/inprocessing
40,Counterfactual Fairness,"Counterfactual fairness ensures that a model's prediction for an individual would remain the same in a counterfactual world where their sensitive attributes were different. It uses causal modeling to distinguish between legitimate and discriminatory influences of protected characteristics. This approach addresses fairness at an individual level, ensuring people aren't treated differently based solely on demographic factors that should be irrelevant to the decision.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Ensuring a credit scoring model gives the same result for a person regardless of what their race would have been, while still accounting for legitimate factors affected by systemic inequalities."", ""goal"": ""Fairness""}]","[{""description"": ""Requires specifying causal relationships, which can be subjective; may be mathematically impossible to satisfy along with other fairness definitions, and implementation is complex.""}]","[{""type"": ""Paper"", ""title"": ""Counterfactual Fairness"", ""url"": ""https://arxiv.org/abs/1703.06856""}]",5,3,#fairness-assessment/individual-fairness-metrics
41,Fairness Constraints and Regularization,"This approach incorporates fairness objectives directly into the model training process by adding constraints or regularization terms. The model learns to balance predictive performance with fairness criteria, such as minimizing disparate treatment across groups. By adjusting how heavily fairness is weighted against accuracy, developers can control the trade-off to meet application-specific needs.",Model-Specific,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Training a college admissions prediction model with a fairness constraint that penalizes the model if it gives systematically lower scores to certain demographic groups."", ""goal"": ""Fairness""}]","[{""description"": ""Requires careful tuning of fairness-accuracy trade-offs; constraints may lead to reduced performance, and optimization can be more complex than standard training.""}]","[{""type"": ""Paper"", ""title"": ""A Reductions Approach to Fair Classification"", ""url"": ""https://arxiv.org/abs/1803.02453""}]",4,3,#fairness-mitigation/inprocessing
42,Multi-calibration and Multi-accuracy,"Multi-calibration ensures that a model's predictions are well-calibrated not just overall, but across all identifiable subgroups and intersections of groups. Similarly, multi-accuracy requires a model to be accurate across all subgroups. These approaches address the problem of models that perform well on average but fail for minority groups, ensuring reliable predictions for everyone regardless of their demographic characteristics.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Ensuring a medical risk prediction model has accurate confidence scores across all combinations of age, sex, and ethnicity groups, not just for the majority population."", ""goal"": ""Fairness""}]","[{""description"": ""May require substantial data for reliable calibration across many subgroups; computational cost increases with number of groups considered, and improvement procedure can be complex.""}]","[{""type"": ""Paper"", ""title"": ""Multicalibration: Calibration for the (Computationally-Identifiable) Masses"", ""url"": ""https://arxiv.org/abs/1805.12317""}]",4,3,#fairness-mitigation/postprocessing
43,Individual Fairness Metrics,"Individual fairness metrics ensure that similar individuals receive similar outcomes, regardless of group membership. They define a distance function in the feature space and require that individuals who are close according to this distance receive similar predictions. This approach focuses on treating each person fairly rather than just achieving statistical parity between groups, addressing fairness at a more granular level.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Ensuring that job candidates with similar qualifications receive similar scores from a resume screening algorithm, regardless of demographic factors."", ""goal"": ""Fairness""}]","[{""description"": ""Requires defining an appropriate similarity metric, which can be subjective; can be difficult to satisfy alongside group fairness metrics, and evaluation requires more computation.""}]","[{""type"": ""Paper"", ""title"": ""Fairness Through Awareness"", ""url"": ""https://arxiv.org/abs/1104.3913""}]",4,2,#fairness-assessment/individual-fairness-metrics
44,Sensitivity Analysis for Fairness,"Sensitivity analysis for fairness examines how model outputs change when sensitive attributes or their correlates are varied. By systematically altering certain inputs and observing prediction changes, it reveals if and how much protected characteristics influence decisions. This approach helps identify potential discrimination even in models that don't explicitly use sensitive attributes but might rely on correlated proxies.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Testing whether a lending model's decisions change significantly when only the applicant's zip code (which may correlate with race) is altered, while keeping all other factors constant."", ""goal"": ""Fairness""}]","[{""description"": ""May require domain expertise to identify relevant proxies for sensitive attributes; can be computationally intensive for complex models, and choosing comparison points involves subjective judgment.""}]","[{""type"": ""Paper"", ""title"": ""The Measure and Mismeasure of Fairness"", ""url"": ""https://arxiv.org/abs/1808.00023""}]",3,3,#fairness-assessment/causal-analysis
45,Synthetic Data Generation,"Synthetic data generation creates artificial datasets that maintain the statistical properties and patterns of real data without containing actual information from real individuals. By using techniques like differential privacy or generative models, teams can develop, test, and share ML models without exposing sensitive information. This approach balances data utility with privacy protection, enabling collaboration while minimizing re-identification risks.",Model-Agnostic,Privacy,,"[{""description"": ""Creating realistic but synthetic electronic health records for developing and testing medical diagnosis algorithms without exposing real patient data."", ""goal"": ""Privacy""}]","[{""description"": ""May not capture all nuances of real data, potentially reducing model performance; generating high-quality synthetic data can be challenging, and some approaches may still leak information.""}]","[{""type"": ""Library"", ""title"": ""Synthetic Data Vault (SDV)"", ""url"": ""https://github.com/sdv-dev/SDV""}]",4,4,#data-protection/synthetic-data
46,Federated Learning,"Federated learning trains models across multiple devices or servers without exchanging the underlying data, only sharing model updates. Data remains on the local devices, preserving privacy while still enabling collaborative learning from distributed datasets. By keeping sensitive information local and only sharing model parameters or gradients, organizations can build effective models while respecting privacy boundaries and data sovereignty requirements.",Model-Specific,Privacy,,"[{""description"": ""Developing a smartphone keyboard prediction model by learning from users' typing patterns without their text ever leaving their devices."", ""goal"": ""Privacy""}]","[{""description"": ""Communication overhead can be significant; heterogeneous client data may lead to training instability, and the approach still has potential privacy vulnerabilities to inference attacks.""}]","[{""type"": ""Paper"", ""title"": ""Communication-Efficient Learning of Deep Networks from Decentralized Data"", ""url"": ""https://arxiv.org/abs/1602.05629""}]",4,5,#privacypreserving-training/distributed-learning
47,Differential Privacy,"Differential privacy adds carefully calibrated noise to data or model outputs to mathematically guarantee that individual data points cannot be identified. It provides a formal privacy framework with a tunable privacy budget (epsilon) that controls the privacy-utility trade-off. By quantifying and limiting information leakage, differential privacy enables robust privacy protection while still extracting valuable insights from sensitive data.",Model-Agnostic,Privacy,,"[{""description"": ""Adding privacy protection to a census data analysis model to ensure individual households cannot be identified while still obtaining accurate population statistics."", ""goal"": ""Privacy""}]","[{""description"": ""Adds noise that reduces model accuracy; setting the privacy budget requires careful consideration, and strong privacy guarantees may significantly impact utility.""}]","[{""type"": ""Library"", ""title"": ""Differential Privacy OpenDP Library"", ""url"": ""https://github.com/opendp/opendp""}]",5,3,#privacypreserving-training/training-with-privacy-guarantees
48,Homomorphic Encryption,"Homomorphic encryption allows computation on encrypted data without decrypting it first, producing encrypted results that, when decrypted, match the results of performing the same operations on the plaintext. This enables secure outsourced computation where sensitive data remains encrypted throughout processing. By allowing ML operations on encrypted data, it provides strong privacy guarantees for applications involving highly sensitive information.",Model-Specific,Privacy,,"[{""description"": ""Enabling a cloud-based medical diagnosis service to process encrypted patient data and return encrypted results without ever seeing the actual medical information."", ""goal"": ""Privacy""}]","[{""description"": ""Extremely computationally expensive, often orders of magnitude slower than unencrypted computation; limited operations supported efficiently, and implementation requires cryptographic expertise.""}]","[{""type"": ""Library"", ""title"": ""Microsoft SEAL"", ""url"": ""https://github.com/Microsoft/SEAL""}]",5,5,#privacypreserving-inference/encrypted-computation
49,Prediction Intervals,"Prediction intervals provide a range within which a future observation is likely to fall with a specified probability. Unlike single-point predictions, they quantify the uncertainty in a model's predictions, giving upper and lower bounds that account for both the inherent noise in the data and the model's uncertainty. This helps users understand how precise and reliable a prediction really is.",Model-Agnostic,Reliability,,"[{""description"": ""Providing realistic ranges for sales forecasts to help business planning under uncertainty."", ""goal"": ""Reliability""}]","[{""description"": ""Requires assumptions about error distribution; can be overconfident if model is miscalibrated, data distribution shifts, or assumptions are violated.""}]","[{""type"": ""Article"", ""title"": ""Prediction Intervals for Regression Models"", ""url"": ""https://towardsdatascience.com/prediction-intervals-for-random-forests-533e58c258b""}]",3,3,#uncertainty-and-reliability/confidence-estimation
50,Quantile Regression,"Quantile regression estimates different percentiles of the prediction's conditional distribution rather than just the mean. By modeling multiple quantiles (e.g., 10th, 50th, and 90th percentiles), it provides insights into the full range of possible outcomes and how features differently affect various parts of the outcome distribution. This helps understand prediction uncertainty and how the relationships might vary across different segments of the data.",Model-Specific,Reliability,,"[{""description"": ""Modeling how housing prices vary across different market segments, by estimating how factors affect low-end, median, and luxury properties differently."", ""goal"": ""Reliability""}]","[{""description"": ""Can be computationally intensive to fit multiple quantiles; may yield crossing quantiles without constraints, creating logically inconsistent prediction intervals.""}]","[{""type"": ""Article"", ""title"": ""Quantile Regression Forests"", ""url"": ""https://www.jmlr.org/papers/v7/meinshausen06a.html""}]",3,2,#uncertainty-and-reliability/conditional-prediction
51,Conformal Prediction,"Conformal prediction creates prediction sets that contain the true outcome with a guaranteed coverage probability. Unlike traditional confidence intervals, conformal prediction makes minimal assumptions and works with any model type. It provides rigorous uncertainty quantification by using past prediction errors on similar examples to calibrate the size of prediction intervals, ensuring they have the specified coverage rate (e.g., 95% of intervals contain the true value).",Model-Agnostic,Reliability,,"[{""description"": ""Creating prediction intervals for medical test results that have a provable 95% coverage rate, regardless of the underlying model complexity."", ""goal"": ""Reliability""}]","[{""description"": ""Intervals can be unnecessarily wide if nonconformity scores vary greatly across the data; requires a held-out calibration set which reduces data available for training.""}]","[{""type"": ""Paper"", ""title"": ""A Tutorial on Conformal Prediction"", ""url"": ""https://arxiv.org/abs/0706.3188""}]",4,2,#uncertainty-and-reliability/distributionfree-prediction
52,Empirical Calibration,"Empirical calibration adjusts a model's predicted probabilities to match observed frequencies. For example, if events predicted with 80% confidence only occur 60% of the time, calibration would correct this overconfidence. Common techniques include Platt scaling and isotonic regression, which learn transformations that map the model's raw scores to well-calibrated probabilities, improving the reliability of confidence measures for downstream decisions.",Model-Agnostic,Reliability,,"[{""description"": ""Adjusting a credit default prediction model's probabilities to ensure that loan applicants with a predicted 30% default risk actually default 30% of the time, improving decision-making."", ""goal"": ""Reliability""}]","[{""description"": ""Requires held-out calibration data; calibration can degrade over time if data distribution shifts, and might sacrifice discrimination power for calibration in some cases.""}]","[{""type"": ""Transparency"", ""title"": ""Probability Calibration (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/modules/calibration.html""}]",2,2,#uncertainty-and-reliability/probability-calibration
53,Temperature Scaling,"Temperature scaling is a simple but effective calibration method for neural networks that divides the logits (pre-softmax outputs) by a single scalar parameter called temperature. This parameter is optimized on a validation set to minimize calibration error. Higher temperatures smooth out confidence, making the model less overconfident. It preserves the model's accuracy while improving its calibration, ensuring probability estimates better reflect true likelihoods.",Model-Specific,Reliability,,"[{""description"": ""Adjusting a deep learning image classifier's confidence scores to be realistic, ensuring that when it's 90% confident, it's right 90% of the time."", ""goal"": ""Reliability""}]","[{""description"": ""Only addresses calibration at the dataset level; doesn't fix miscalibration that varies across subgroups or feature values, and does not improve the rank ordering of predictions.""}]","[{""type"": ""Paper"", ""title"": ""On Calibration of Modern Neural Networks (2017)"", ""url"": ""https://arxiv.org/abs/1706.04599""}]",1,1,#uncertainty-and-reliability/probability-calibration
54,Deep Ensembles,"Deep ensembles combine predictions from multiple neural networks trained independently with different random initializations. By capturing model uncertainty through the diversity of the ensemble's predictions, they provide more reliable uncertainty estimates and better out-of-distribution detection than single models. The disagreement between ensemble members naturally indicates prediction uncertainty, improving both accuracy and calibration.",Model-Specific,Reliability,,"[{""description"": ""Improving self-driving car safety by using multiple neural networks to detect obstacles, where disagreement between models signals uncertainty and triggers extra caution."", ""goal"": ""Reliability""}]","[{""description"": ""Computationally expensive to train and deploy multiple complete models; may still provide overconfident predictions for inputs far from the training distribution.""}]","[{""type"": ""Paper"", ""title"": ""Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles"", ""url"": ""https://arxiv.org/abs/1612.01474""}]",3,5,#uncertainty-and-reliability/ensemble-methods
55,Bootstrapping,"Bootstrapping estimates uncertainty by resampling data with replacement many times, training a model on each sample, and analyzing the variation in predictions. This approach provides confidence intervals and stability measures without making strong statistical assumptions. By showing how predictions change with different data samples, it reveals how sensitive the model is to the specific training examples it sees.",Model-Agnostic,Reliability,,"[{""description"": ""Estimating uncertainty in financial risk models by resampling historical data to understand how predictions might vary under different historical scenarios."", ""goal"": ""Reliability""}]","[{""description"": ""Computationally expensive to train multiple models; does not account for uncertainty in model structure or for systematically missing data patterns.""}]","[{""type"": ""Book"", ""title"": ""An Introduction to the Bootstrap"", ""url"": ""https://doi.org/10.1201/9780429246593""}]",3,4,#uncertainty-and-reliability/resampling-methods
56,Jackknife Resampling,"Jackknife resampling assesses model stability by systematically leaving out one (or a few) data points at a time and retraining the model. This approach reveals how individual points influence results and provides an estimate of the standard error. By examining the distribution of predictions across these leave-one-out models, it identifies unusually influential points and characterizes prediction uncertainty.",Model-Agnostic,Reliability,,"[{""description"": ""Evaluating how removing individual countries from a global climate model affects predictions, to identify which regions have outsized influence on the results."", ""goal"": ""Reliability""}]","[{""description"": ""Extremely computationally intensive for large datasets, as it requires training n models for n data points; may underestimate uncertainty compared to other methods.""}]","[{""type"": ""Article"", ""title"": ""The Jackknife Estimate of Variance"", ""url"": ""https://projecteuclid.org/journals/annals-of-statistics/volume-9/issue-3/The-Jackknife-Estimate-of-Variance/10.1214/aos/1176345462.full""}]",3,5,#uncertainty-and-reliability/resampling-methods
57,Cross-validation,"Cross-validation evaluates model performance and stability by partitioning data into multiple subsets. The model is trained and tested repeatedly on different train-test splits, revealing how performance varies across different subsamples of data. This provides a realistic assessment of how well the model will generalize to new data and helps quantify prediction uncertainty, making it a fundamental technique for reliable model evaluation.",Model-Agnostic,Reliability,,"[{""description"": ""Using 10-fold cross-validation to estimate a healthcare prediction model's true accuracy and assess if performance is consistent across different patient subgroups."", ""goal"": ""Reliability""}]","[{""description"": ""Time-consuming for large datasets or complex models; standard cross-validation can give optimistic estimates if there are dependencies in the data (e.g., time series).""}]","[{""type"": ""Transparency"", ""title"": ""Cross-validation: evaluating estimator performance"", ""url"": ""https://scikit-learn.org/stable/modules/cross_validation.html""}]",2,3,#performance-assessment/validation-methods
58,Statistical Hypothesis Testing,"Statistical hypothesis testing systematically evaluates whether observed effects or differences could have occurred by chance. By calculating test statistics and p-values, it determines if results are statistically significant given a null hypothesis. This approach brings rigor to model evaluation and comparison, helping to distinguish real patterns from random fluctuations when assessing model performance or feature importance.",Model-Agnostic,Reliability,,"[{""description"": ""Determining if one machine learning model significantly outperforms another, or if the observed performance difference could be due to chance."", ""goal"": ""Reliability""}]","[{""description"": ""Vulnerable to p-hacking and multiple testing problems; significance doesn't always imply practical importance, and test validity depends on distribution assumptions.""}]","[{""type"": ""Book"", ""title"": ""Testing Statistical Hypotheses"", ""url"": ""https://www.springer.com/gp/book/9780387988641""}]",3,2,#performance-assessment/significance-testing
59,Area Under Precision-Recall Curve (AUPRC),"AUPRC measures model performance by plotting precision against recall at various classification thresholds and calculating the area under the resulting curve. Unlike accuracy or AUC-ROC, it's particularly valuable for imbalanced datasets where the minority class is of primary interest. By focusing on the trade-off between precision and recall, it provides a more informative assessment for use cases where false positives and false negatives have different costs.",Model-Agnostic,Reliability,,"[{""description"": ""Evaluating fraud detection models where genuine transactions far outnumber fraudulent ones, to ensure fraud is caught without overwhelming reviewers with false alarms."", ""goal"": ""Reliability""}]","[{""description"": ""More sensitive to class distribution than ROC curves; comparing models across datasets with different class balances can be misleading.""}]","[{""type"": ""Article"", ""title"": ""The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Classification Algorithms on Imbalanced Datasets"", ""url"": ""https://doi.org/10.1371/journal.pone.0118432""}]",2,2,#performance-assessment/metric-selection
60,Precision Metrics for High-Risk Domains,"In high-risk domains, specialized metrics focus on worst-case performance and extreme error cases rather than averages. These include metrics like maximum error, 99th percentile error, and failure rate above critical thresholds. By explicitly measuring performance in the most challenging situations, these metrics ensure models meet safety requirements and help identify potentially catastrophic failure modes.",Model-Agnostic,Reliability,,"[{""description"": ""Evaluating an autonomous vehicle's detection system by measuring its worst-case performance in challenging visibility conditions, rather than average-case performance."", ""goal"": ""Reliability""}]","[{""description"": ""May require more test cases and data to accurately estimate tail performance; optimizing for extreme cases can sometimes harm average performance.""}]","[{""type"": ""Paper"", ""title"": ""Metrics for Deep Generative Models"", ""url"": ""https://arxiv.org/abs/1711.01204""}]",3,3,#performance-assessment/edge-case-evaluation
61,Internal Review Boards,"Internal review boards evaluate ML projects for ethical and safety concerns before development or deployment. Comprised of cross-functional experts (technical, legal, ethics, domain specialists), they review use cases, potential harms, mitigation strategies, and monitoring plans. By formalizing ethical review processes, they help organizations identify risks early and ensure responsible AI development practices.",Organizational,Safety,,"[{""description"": ""Reviewing a proposed criminal risk assessment tool to evaluate potential discriminatory impacts and privacy implications before development begins."", ""goal"": ""Safety""}]","[{""description"": ""Can slow development timelines; effectiveness depends on board composition and authority, and organizations may face pressure to approve revenue-generating projects.""}]","[{""type"": ""Article"", ""title"": ""Ethics Review for Machine Learning in the Enterprise"", ""url"": ""https://www.oreilly.com/radar/ethics-review-for-machine-learning-in-the-enterprise/""}]",4,1,#governance-mechanisms/review-processes
62,Red Teaming,"Red teaming involves dedicated adversarial testing of ML systems by specialists who try to find flaws, vulnerabilities, harmful outputs, or ways to circumvent safety measures. Drawing on security practices, red teams probe systems from multiple angles, including prompt engineering, adversarial examples, and edge case testing. This approach reveals non-obvious risks before deployment and helps build more robust, safer AI systems.",Model-Agnostic,Safety,,"[{""description"": ""Having a specialized team attempt to make a content moderation AI generate harmful outputs by using creative prompting techniques."", ""goal"": ""Safety""}]","[{""description"": ""Requires specialized expertise and significant resources; can only find issues that testers think to look for, and systems may remain vulnerable to novel attack types.""}]","[{""type"": ""Paper"", ""title"": ""Red Teaming Language Models with Language Models"", ""url"": ""https://arxiv.org/abs/2202.03286""}]",4,3,#testing-methods/adversarial-testing
63,Anomaly Detection,"Anomaly detection identifies unusual behaviors, inputs, or outputs that deviate significantly from normal patterns. Applied to ML systems, it can flag unexpected model predictions, suspicious inputs, or drift in behavior. By continuously monitoring for anomalies in production, organizations can catch potential issues early, investigate causes, and prevent harm from system misuse or malfunction.",Model-Agnostic,Safety,,"[{""description"": ""Detecting unusual patterns of API calls to a machine translation service that might indicate attempts to extract harmful outputs or attack the model."", ""goal"": ""Safety""}]","[{""description"": ""Setting appropriate thresholds is challenging; may generate false alarms in legitimate edge cases, and novel anomalies might not match patterns the system is trained to detect.""}]","[{""type"": ""Library"", ""title"": ""PyOD: Python Outlier Detection"", ""url"": ""https://github.com/yzhao062/pyod""}]",3,3,#monitoring-methods/runtime-monitoring
64,Human-in-the-Loop Safeguards,"Human-in-the-loop safeguards integrate human oversight into model operations, requiring human review of high-risk or uncertain predictions before actions are taken. This approach combines model efficiency with human judgment for sensitive decisions. By designating appropriate intervention points and routing challenging cases to human experts, organizations can better manage the risks of automated decisions while still benefiting from ML capabilities.",Model-Agnostic,Safety,,"[{""description"": ""Requiring human moderator approval before taking down content that an AI system has flagged for potential policy violations."", ""goal"": ""Safety""}]","[{""description"": ""Scales poorly with high request volumes; introduces latency into the decision process, and humans may experience fatigue or defer too easily to automation.""}]","[{""type"": ""Article"", ""title"": ""Human-in-the-Loop Machine Learning"", ""url"": ""https://www.manning.com/books/human-in-the-loop-machine-learning""}]",2,2,#operational-procedures/human-oversight
65,Confidence Thresholding,"Confidence thresholding routes predictions to different handling paths based on the model's confidence level. High-confidence predictions proceed automatically, while low-confidence cases receive extra scrutiny, human review, or fallback handling. By establishing appropriate thresholds for different risk levels, organizations can balance automation benefits with prudent safeguards, ensuring greater oversight where uncertainty is high.",Model-Agnostic,Safety,,"[{""description"": ""Only allowing a medical diagnosis system to make recommendations automatically when its confidence exceeds 95%, routing less certain cases to human physicians."", ""goal"": ""Safety""}]","[{""description"": ""Many models have poorly calibrated confidence scores; threshold selection can be challenging, and some risky predictions may still have high confidence.""}]","[{""type"": ""Article"", ""title"": ""Beyond temperature scaling: Obtaining well-calibrated multiclass probabilities"", ""url"": ""https://arxiv.org/abs/1905.07826""}]",2,1,#operational-procedures/filtering-pipeline
66,Runtime Monitoring and Circuit Breakers,"Runtime monitoring tracks key system metrics and prediction patterns in production, with automated circuit breakers that can throttle, disable, or revert ML systems when anomalies exceed thresholds. This approach provides real-time protection against unexpected behavior. By continuously monitoring inputs, outputs, and system health, organizations can quickly detect and respond to potential issues before they cause significant harm.",Model-Agnostic,Safety,,"[{""description"": ""Automatically disabling an automated trading system if it starts making a volume of trades that exceeds historical patterns by a large margin."", ""goal"": ""Safety""}]","[{""description"": ""Setting appropriate thresholds requires careful calibration; false alarms can disrupt service unnecessarily, and some harmful behaviors may still fall within monitored metrics ranges.""}]","[{""type"": ""Article"", ""title"": ""Monitoring Machine Learning Models in Production"", ""url"": ""https://christophergs.com/machine%20learning/2020/03/14/how-to-monitor-machine-learning-models/""}]",3,2,#monitoring-methods/runtime-monitoring
67,Model Cards,"Model cards are standardized documentation templates that provide essential information about ML models, including their intended uses, performance metrics across different conditions and demographic groups, training data characteristics, and known limitations. By creating transparency about a model's behavior and appropriate contexts, they help prevent misuse and enable users to make informed decisions about when and how to apply the model.",Model-Agnostic,Transparency,,"[{""description"": ""Creating comprehensive documentation for a facial recognition API that clearly describes performance differences across skin tones and lighting conditions."", ""goal"": ""Transparency""}]","[{""description"": ""Creating thorough model cards requires significant effort; information may become outdated as models are updated, and some organizations may provide incomplete information.""}]","[{""type"": ""Paper"", ""title"": ""Model Cards for Model Reporting"", ""url"": ""https://arxiv.org/abs/1810.03993""}, {""type"": ""Tool"", ""title"": ""Model Card Toolkit"", ""url"": ""https://github.com/tensorflow/model-card-toolkit""}]",2,1,#documentation-standards/model-governance
68,Datasheets for Datasets,"Datasheets for datasets document a dataset's creation, composition, intended uses, and maintenance. They include information about collection methods, preprocessing steps, recommended uses, potential biases, and legal/ethical considerations. By providing this context, datasheets improve transparency, help users make informed decisions about dataset suitability, and encourage dataset creators to reflect on responsible practices throughout the data lifecycle.",Model-Agnostic,Transparency,,"[{""description"": ""Creating comprehensive documentation for a public facial image dataset, detailing consent procedures, demographic representation, and appropriate use guidelines."", ""goal"": ""Transparency""}]","[{""description"": ""Requires time and effort to create and maintain; information may become outdated if the dataset evolves, and there's no enforced standard for completeness.""}]","[{""type"": ""Paper"", ""title"": ""Datasheets for Datasets"", ""url"": ""https://arxiv.org/abs/1803.09010""}]",2,1,#documentation-standards/model-governance
69,System Documentation Templates,"System documentation templates provide standardized frameworks for describing ML systems beyond just models and datasets. They capture information about infrastructure, deployment environments, monitoring systems, failure modes, and maintenance procedures. By ensuring comprehensive documentation of the entire ML pipeline, they support better governance, reproducibility, and safety, serving both technical and non-technical stakeholders.",Model-Agnostic,Transparency,,"[{""description"": ""Documenting an automated trading system's components, monitoring protocols, and emergency shutdown procedures to support operational safety and regulatory compliance."", ""goal"": ""Transparency""}]","[{""description"": ""Maintaining comprehensive documentation can be time-consuming; different stakeholders may require different levels of detail, and templates may not fit all types of ML systems equally well.""}]","[{""type"": ""Article"", ""title"": ""Documentation for Machine Learning: A Complete Guide"", ""url"": ""https://towardsdatascience.com/documentation-for-machine-learning-a-complete-guide-d9f20aa6456e""}]",3,1,#documentation-standards/model-governance
70,ML System Lineage,"ML system lineage tracks the complete history of models, datasets, and experiments through a system's lifecycle. It records which datasets were used to train each model version, what hyperparameters were set, who approved changes, and when models were deployed. By maintaining this audit trail, organizations can reproduce past results, track sources of performance issues, and demonstrate regulatory compliance when needed.",Model-Agnostic,Transparency,,"[{""description"": ""Maintaining complete records of model versions and datasets for a medical diagnosis system to support regulatory audits and trace the origin of any prediction issues."", ""goal"": ""Transparency""}]","[{""description"": ""Implementing comprehensive lineage tracking requires dedicated infrastructure; can generate large volumes of metadata, and requires discipline from all team members to maintain.""}]","[{""type"": ""Tool"", ""title"": ""ML Metadata (MLMD)"", ""url"": ""https://www.tensorflow.org/tfx/guide/mlmd""}]",3,2,#documentation-standards/versioning-and-provenance
71,Automated Documentation Generation,"Automated documentation generation extracts information directly from code, models, and data pipelines to create and maintain up-to-date documentation. It can capture model architectures, data schemas, feature importance, performance metrics, and lineage information without manual writing. By reducing the burden of documentation maintenance, it helps teams keep comprehensive records that remain accurate as systems evolve.",Model-Agnostic,Transparency,,"[{""description"": ""Automatically generating model cards each time a new model version is trained, with updated performance metrics and data statistics."", ""goal"": ""Transparency""}]","[{""description"": ""May miss context and insights that human documentation would include; quality depends on instrumentation comprehensiveness, and unstructured information is harder to capture.""}]","[{""type"": ""Tool"", ""title"": ""Tensorflow Data Validation"", ""url"": ""https://www.tensorflow.org/tfx/guide/tfdv""}]",3,2,#documentation-standards/documentation-automation
72,Model Distillation,"Model distillation compresses a large, complex model (the teacher) into a smaller, simpler model (the student) that approximates the original's behavior. The student model learns from the teacher's outputs rather than the raw data. This technique makes models more interpretable, deployable, and efficient while preserving most of the original performance. It helps balance the benefits of complex models with the practical requirements of responsible deployment.",Model-Specific,Transparency,,"[{""description"": ""Compressing a large computer vision model with billions of parameters into a smaller model that can run on mobile devices while being easier to inspect."", ""goal"": ""Transparency""}]","[{""description"": ""Student models typically lose some performance compared to teacher models; the distillation process may still produce black-box models if not combined with interpretable architectures.""}]","[{""type"": ""Paper"", ""title"": ""Distilling the Knowledge in a Neural Network"", ""url"": ""https://arxiv.org/abs/1503.02531""}]",3,4,#model-simplification/knowledge-distillation
73,Model Extraction,"Model extraction creates a simpler, interpretable model (like a decision tree) that approximates a complex black-box model's behavior. Unlike distillation which transfers knowledge during training, extraction works with already-trained models by analyzing their inputs and outputs. This technique helps understand what patterns a black-box model has learned and provides explanations that stakeholders can understand without technical expertise.",Model-Agnostic,Transparency,,"[{""description"": ""Converting a complex neural network credit score model into a set of human-readable rules to explain to regulators and applicants how decisions are made."", ""goal"": ""Transparency""}]","[{""description"": ""Extracted models may not faithfully represent the original if it's highly complex; accuracy and fidelity trade off against simplicity, and training data for extraction may not be diverse enough.""}]","[{""type"": ""Paper"", ""title"": ""Extracting Tree-Structured Representations of Trained Networks"", ""url"": ""https://proceedings.neurips.cc/paper/1996/file/f9a40a4780f5e1306c46f1c8daecee3b-Paper.pdf""}]",3,3,#model-simplification/posthoc-approximation
74,Feature Importance Ranking,"Feature importance ranking identifies and orders the most influential features in a model's predictions, typically using techniques like permutation importance, SHAP values, or built-in model metrics. By quantifying each feature's impact, it provides transparency into what factors drive the model's decisions. This helps stakeholders understand the model's focus and can reveal whether it relies on reasonable factors or potentially problematic ones.",Model-Agnostic,Transparency,,"[{""description"": ""Revealing that customer purchase history and product views are the top features in an e-commerce recommendation system, rather than demographic information."", ""goal"": ""Transparency""}]","[{""description"": ""Different importance metrics can yield conflicting rankings; importance doesn't reveal feature interactions, and global rankings may not explain individual predictions.""}]","[{""type"": ""Transparency"", ""title"": ""Feature Importance Evaluation (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/modules/permutation_importance.html""}]",2,2,#feature-analysis/importance-ranking
